feature,importance,fold
OCCUPATION_TYPE_Managers,0,1
OCCUPATION_TYPE_Medicinestaff,14,1
OCCUPATION_TYPE_Privateservicestaff,0,1
OCCUPATION_TYPE_Realtyagents,0,1
OCCUPATION_TYPE_Salesstaff,7,1
OCCUPATION_TYPE_Secretaries,0,1
OCCUPATION_TYPE_Securitystaff,0,1
OCCUPATION_TYPE_Waitersbarmenstaff,5,1
WEEKDAY_APPR_PROCESS_START_FRIDAY,7,1
WEEKDAY_APPR_PROCESS_START_MONDAY,27,1
WEEKDAY_APPR_PROCESS_START_SATURDAY,18,1
WEEKDAY_APPR_PROCESS_START_SUNDAY,21,1
WEEKDAY_APPR_PROCESS_START_THURSDAY,3,1
WEEKDAY_APPR_PROCESS_START_TUESDAY,11,1
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,6,1
ORGANIZATION_TYPE_Advertising,0,1
ORGANIZATION_TYPE_Agriculture,0,1
ORGANIZATION_TYPE_Bank,29,1
ORGANIZATION_TYPE_BusinessEntityType1,0,1
ORGANIZATION_TYPE_BusinessEntityType2,0,1
ORGANIZATION_TYPE_BusinessEntityType3,36,1
ORGANIZATION_TYPE_Cleaning,0,1
ORGANIZATION_TYPE_Construction,47,1
ORGANIZATION_TYPE_Culture,0,1
ORGANIZATION_TYPE_Electricity,0,1
ORGANIZATION_TYPE_Emergency,0,1
ORGANIZATION_TYPE_Government,1,1
ORGANIZATION_TYPE_Hotel,2,1
ORGANIZATION_TYPE_Housing,0,1
ORGANIZATION_TYPE_Industrytype1,0,1
ORGANIZATION_TYPE_Industrytype10,0,1
ORGANIZATION_TYPE_Industrytype11,0,1
ORGANIZATION_TYPE_Industrytype12,0,1
ORGANIZATION_TYPE_Industrytype13,0,1
ORGANIZATION_TYPE_Industrytype2,0,1
ORGANIZATION_TYPE_Industrytype3,1,1
ORGANIZATION_TYPE_Industrytype4,0,1
ORGANIZATION_TYPE_Industrytype5,0,1
ORGANIZATION_TYPE_Industrytype6,0,1
ORGANIZATION_TYPE_Industrytype7,0,1
ORGANIZATION_TYPE_Industrytype8,0,1
ORGANIZATION_TYPE_Industrytype9,36,1
ORGANIZATION_TYPE_Insurance,0,1
ORGANIZATION_TYPE_Kindergarten,10,1
ORGANIZATION_TYPE_LegalServices,0,1
ORGANIZATION_TYPE_Medicine,19,1
ORGANIZATION_TYPE_Military,45,1
ORGANIZATION_TYPE_Mobile,0,1
ORGANIZATION_TYPE_Other,0,1
ORGANIZATION_TYPE_Police,13,1
ORGANIZATION_TYPE_Postal,0,1
ORGANIZATION_TYPE_Realtor,0,1
ORGANIZATION_TYPE_Religion,0,1
ORGANIZATION_TYPE_Restaurant,7,1
ORGANIZATION_TYPE_School,31,1
ORGANIZATION_TYPE_Security,0,1
ORGANIZATION_TYPE_SecurityMinistries,5,1
ORGANIZATION_TYPE_Selfemployed,70,1
ORGANIZATION_TYPE_Services,0,1
ORGANIZATION_TYPE_Telecom,0,1
ORGANIZATION_TYPE_Tradetype1,0,1
ORGANIZATION_TYPE_Tradetype2,0,1
ORGANIZATION_TYPE_Tradetype3,0,1
ORGANIZATION_TYPE_Tradetype4,0,1
ORGANIZATION_TYPE_Tradetype5,0,1
ORGANIZATION_TYPE_Tradetype6,0,1
ORGANIZATION_TYPE_Tradetype7,0,1
ORGANIZATION_TYPE_Transporttype1,0,1
ORGANIZATION_TYPE_Transporttype2,0,1
ORGANIZATION_TYPE_Transporttype3,40,1
ORGANIZATION_TYPE_Transporttype4,2,1
ORGANIZATION_TYPE_University,0,1
ORGANIZATION_TYPE_XNA,0,1
FONDKAPREMONT_MODE_notspecified,2,1
FONDKAPREMONT_MODE_orgspecaccount,3,1
FONDKAPREMONT_MODE_regoperaccount,2,1
FONDKAPREMONT_MODE_regoperspecaccount,7,1
HOUSETYPE_MODE_blockofflats,0,1
HOUSETYPE_MODE_specifichousing,3,1
HOUSETYPE_MODE_terracedhouse,0,1
WALLSMATERIAL_MODE_Block,0,1
WALLSMATERIAL_MODE_Mixed,0,1
